"","page","pathlength","pageviews","segment.id","segment.name"
"1","Areas with Zika | Zika virus | CDC","1",112064,"",""
"6643","Birth Defects Surveillance | Zika virus | CDC","33",2,"",""
"6644","Birth Defects Surveillance | Zika virus | CDC","25",2,"",""
"6645","Birth Defects Surveillance | Zika virus | CDC","17",2,"",""
"6646","Birth Defects Surveillance | Zika virus | CDC","129",1,"",""
"6647","Birth Defects Surveillance | Zika virus | CDC","86",1,"",""
"6648","Birth Defects Surveillance | Zika virus | CDC","62",1,"",""
"6649","Birth Defects Surveillance | Zika virus | CDC","59",1,"",""
"6650","Birth Defects Surveillance | Zika virus | CDC","55",1,"",""
"6651","Birth Defects Surveillance | Zika virus | CDC","46",1,"",""
"6652","Birth Defects Surveillance | Zika virus | CDC","45",1,"",""
"6653","Birth Defects Surveillance | Zika virus | CDC","44",1,"",""
"6654","Birth Defects Surveillance | Zika virus | CDC","39",1,"",""
"6655","Birth Defects Surveillance | Zika virus | CDC","36",1,"",""
"6656","Birth Defects Surveillance | Zika virus | CDC","35",1,"",""
"6657","Birth Defects Surveillance | Zika virus | CDC","29",1,"",""
"6658","Birth Defects Surveillance | Zika virus | CDC","27",1,"",""
"6659","Birth Defects Surveillance | Zika virus | CDC","19",1,"",""
"6660","Birth Defects Surveillance | Zika virus | CDC","18",1,"",""
"6661","Congenital Microcephaly Case Definitions | Zika virus | CDC","1",127,"",""
"6662","Congenital Microcephaly Case Definitions | Zika virus | CDC","2",20,"",""
"6663","Congenital Microcephaly Case Definitions | Zika virus | CDC","7",10,"",""
"6664","Congenital Microcephaly Case Definitions | Zika virus | CDC","13",9,"",""
"6665","Congenital Microcephaly Case Definitions | Zika virus | CDC","8",7,"",""
"6666","Congenital Microcephaly Case Definitions | Zika virus | CDC","6",7,"",""
"6667","Congenital Microcephaly Case Definitions | Zika virus | CDC","4",7,"",""
"6668","Congenital Microcephaly Case Definitions | Zika virus | CDC","19",5,"",""
"6669","Congenital Microcephaly Case Definitions | Zika virus | CDC","11",5,"",""
"6670","Congenital Microcephaly Case Definitions | Zika virus | CDC","5",5,"",""
"6671","Congenital Microcephaly Case Definitions | Zika virus | CDC","3",5,"",""
"6672","Congenital Microcephaly Case Definitions | Zika virus | CDC","16",4,"",""
"6673","Congenital Microcephaly Case Definitions | Zika virus | CDC","10",4,"",""
"6674","Congenital Microcephaly Case Definitions | Zika virus | CDC","9",4,"",""
"6675","Congenital Microcephaly Case Definitions | Zika virus | CDC","82",3,"",""
"6676","Congenital Microcephaly Case Definitions | Zika virus | CDC","32",3,"",""
"6677","Congenital Microcephaly Case Definitions | Zika virus | CDC","24",3,"",""
"6678","Congenital Microcephaly Case Definitions | Zika virus | CDC","14",3,"",""
"6679","Congenital Microcephaly Case Definitions | Zika virus | CDC","12",3,"",""
"6680","Congenital Microcephaly Case Definitions | Zika virus | CDC","28",2,"",""
"6681","Congenital Microcephaly Case Definitions | Zika virus | CDC","25",2,"",""
"6682","Congenital Microcephaly Case Definitions | Zika virus | CDC","23",2,"",""
"6683","Congenital Microcephaly Case Definitions | Zika virus | CDC","20",2,"",""
"6684","Congenital Microcephaly Case Definitions | Zika virus | CDC","18",2,"",""
"6685","Congenital Microcephaly Case Definitions | Zika virus | CDC","17",2,"",""
"6686","Congenital Microcephaly Case Definitions | Zika virus | CDC","1434",1,"",""
"6687","Congenital Microcephaly Case Definitions | Zika virus | CDC","100",1,"",""
"6688","Congenital Microcephaly Case Definitions | Zika virus | CDC","61",1,"",""
"6689","Congenital Microcephaly Case Definitions | Zika virus | CDC","40",1,"",""
"6690","Congenital Microcephaly Case Definitions | Zika virus | CDC","37",1,"",""
"6691","Congenital Microcephaly Case Definitions | Zika virus | CDC","27",1,"",""
"6692","Congenital Microcephaly Case Definitions | Zika virus | CDC","26",1,"",""
"6693","Congenital Microcephaly Case Definitions | Zika virus | CDC","21",1,"",""
"6694","CDC adds Anguilla to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","1",136,"",""
"6695","CDC adds Anguilla to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","2",53,"",""
"6696","CDC adds Anguilla to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","3",23,"",""
"6697","CDC adds Anguilla to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","4",12,"",""
"6698","CDC adds Anguilla to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","6",9,"",""
"6699","CDC adds Anguilla to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","8",3,"",""
"6700","CDC adds Anguilla to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","7",3,"",""
"6701","CDC adds Anguilla to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","5",3,"",""
"6702","CDC adds Anguilla to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","13",2,"",""
"6703","CDC adds Anguilla to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","2192",1,"",""
"6704","CDC adds Anguilla to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","74",1,"",""
"6705","CDC adds Anguilla to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","34",1,"",""
"6706","CDC adds Anguilla to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","30",1,"",""
"6707","CDC adds Anguilla to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","23",1,"",""
"6708","CDC adds Anguilla to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","22",1,"",""
"6709","CDC adds Anguilla to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","19",1,"",""
"6710","CDC adds Anguilla to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","16",1,"",""
"6711","CDC adds Anguilla to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","12",1,"",""
"6712","CDC adds Anguilla to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","11",1,"",""
"6713","Resources | Mosquito Control | Zika virus | CDC","1",59,"",""
"6714","Resources | Mosquito Control | Zika virus | CDC","11",18,"",""
"6715","Resources | Mosquito Control | Zika virus | CDC","22",14,"",""
"6716","Resources | Mosquito Control | Zika virus | CDC","3",14,"",""
"6717","Resources | Mosquito Control | Zika virus | CDC","8",13,"",""
"6718","Resources | Mosquito Control | Zika virus | CDC","5",10,"",""
"6719","Resources | Mosquito Control | Zika virus | CDC","4",9,"",""
"6720","Resources | Mosquito Control | Zika virus | CDC","27",8,"",""
"6721","Resources | Mosquito Control | Zika virus | CDC","9",8,"",""
"6722","Resources | Mosquito Control | Zika virus | CDC","6",8,"",""
"6723","Resources | Mosquito Control | Zika virus | CDC","26",7,"",""
"6724","Resources | Mosquito Control | Zika virus | CDC","10",7,"",""
"6725","Resources | Mosquito Control | Zika virus | CDC","28",6,"",""
"6726","Resources | Mosquito Control | Zika virus | CDC","7",6,"",""
"6727","Resources | Mosquito Control | Zika virus | CDC","24",5,"",""
"6728","Resources | Mosquito Control | Zika virus | CDC","20",5,"",""
"6729","Resources | Mosquito Control | Zika virus | CDC","16",5,"",""
"6730","Resources | Mosquito Control | Zika virus | CDC","13",5,"",""
"6731","Resources | Mosquito Control | Zika virus | CDC","12",5,"",""
"6732","Resources | Mosquito Control | Zika virus | CDC","14",4,"",""
"6733","Resources | Mosquito Control | Zika virus | CDC","36",3,"",""
"6734","Resources | Mosquito Control | Zika virus | CDC","33",3,"",""
"6735","Resources | Mosquito Control | Zika virus | CDC","15",3,"",""
"6736","Resources | Mosquito Control | Zika virus | CDC","2",3,"",""
"6737","Resources | Mosquito Control | Zika virus | CDC","89",2,"",""
"6738","Resources | Mosquito Control | Zika virus | CDC","44",2,"",""
"6739","Resources | Mosquito Control | Zika virus | CDC","41",2,"",""
"6740","Resources | Mosquito Control | Zika virus | CDC","37",2,"",""
"6741","Resources | Mosquito Control | Zika virus | CDC","21",2,"",""
"6742","Resources | Mosquito Control | Zika virus | CDC","19",2,"",""
"6743","Resources | Mosquito Control | Zika virus | CDC","1434",1,"",""
"6744","Resources | Mosquito Control | Zika virus | CDC","100",1,"",""
"6745","Resources | Mosquito Control | Zika virus | CDC","66",1,"",""
"6746","Resources | Mosquito Control | Zika virus | CDC","62",1,"",""
"6747","Resources | Mosquito Control | Zika virus | CDC","61",1,"",""
"6748","Resources | Mosquito Control | Zika virus | CDC","59",1,"",""
"6749","Resources | Mosquito Control | Zika virus | CDC","55",1,"",""
"6750","Resources | Mosquito Control | Zika virus | CDC","48",1,"",""
"6751","Resources | Mosquito Control | Zika virus | CDC","38",1,"",""
"6752","Resources | Mosquito Control | Zika virus | CDC","34",1,"",""
"6753","Resources | Mosquito Control | Zika virus | CDC","30",1,"",""
"6754","Resources | Mosquito Control | Zika virus | CDC","25",1,"",""
"6755","Resources | Mosquito Control | Zika virus | CDC","23",1,"",""
"6756","Resources | Mosquito Control | Zika virus | CDC","18",1,"",""
"6757","Community Partners | Zika virus | CDC","1",113,"",""
"6758","Community Partners | Zika virus | CDC","7",15,"",""
"6759","Community Partners | Zika virus | CDC","5",13,"",""
"6760","Community Partners | Zika virus | CDC","2",12,"",""
"6761","Community Partners | Zika virus | CDC","9",8,"",""
"6762","Community Partners | Zika virus | CDC","13",7,"",""
"6763","Community Partners | Zika virus | CDC","3",7,"",""
"6764","Community Partners | Zika virus | CDC","20",6,"",""
"6765","Community Partners | Zika virus | CDC","18",6,"",""
"6766","Community Partners | Zika virus | CDC","11",5,"",""
"6767","Community Partners | Zika virus | CDC","4",4,"",""
"6768","Community Partners | Zika virus | CDC","15",3,"",""
"6769","Community Partners | Zika virus | CDC","10",3,"",""
"6770","Community Partners | Zika virus | CDC","6",3,"",""
"6771","Community Partners | Zika virus | CDC","1434",2,"",""
"6772","Community Partners | Zika virus | CDC","100",2,"",""
"6773","Community Partners | Zika virus | CDC","56",2,"",""
"6774","Community Partners | Zika virus | CDC","36",2,"",""
"6775","Community Partners | Zika virus | CDC","34",2,"",""
"6776","Community Partners | Zika virus | CDC","21",2,"",""
"6777","Community Partners | Zika virus | CDC","16",2,"",""
"6778","Community Partners | Zika virus | CDC","12",2,"",""
"6779","Community Partners | Zika virus | CDC","90",1,"",""
"6780","Community Partners | Zika virus | CDC","72",1,"",""
"6781","Community Partners | Zika virus | CDC","61",1,"",""
"6782","Community Partners | Zika virus | CDC","59",1,"",""
"6783","Community Partners | Zika virus | CDC","40",1,"",""
"6784","Community Partners | Zika virus | CDC","28",1,"",""
"6785","Community Partners | Zika virus | CDC","27",1,"",""
"6786","Community Partners | Zika virus | CDC","26",1,"",""
"6787","Community Partners | Zika virus | CDC","25",1,"",""
"6788","Community Partners | Zika virus | CDC","22",1,"",""
"6789","Community Partners | Zika virus | CDC","19",1,"",""
"6790","Community Partners | Zika virus | CDC","17",1,"",""
"6791","Community Partners | Zika virus | CDC","14",1,"",""
"6792","Community Partners | Zika virus | CDC","8",1,"",""
"6793","CDC adds 2 destinations to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","1",109,"",""
"6794","CDC adds 2 destinations to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","2",20,"",""
"6795","CDC adds 2 destinations to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","3",15,"",""
"6796","CDC adds 2 destinations to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","4",13,"",""
"6797","CDC adds 2 destinations to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","8",11,"",""
"6798","CDC adds 2 destinations to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","7",9,"",""
"6799","CDC adds 2 destinations to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","6",8,"",""
"6800","CDC adds 2 destinations to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","5",8,"",""
"6801","CDC adds 2 destinations to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","13",6,"",""
"6802","CDC adds 2 destinations to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","2192",5,"",""
"6803","CDC adds 2 destinations to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","15",4,"",""
"6804","CDC adds 2 destinations to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","9",4,"",""
"6805","CDC adds 2 destinations to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","16",3,"",""
"6806","CDC adds 2 destinations to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","12",3,"",""
"6807","CDC adds 2 destinations to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","11",3,"",""
"6808","CDC adds 2 destinations to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","35",2,"",""
"6809","CDC adds 2 destinations to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","24",2,"",""
"6810","CDC adds 2 destinations to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","20",2,"",""
"6811","CDC adds 2 destinations to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","10",2,"",""
"6812","CDC adds 2 destinations to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","55",1,"",""
"6813","CDC adds 2 destinations to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","41",1,"",""
"6814","CDC adds 2 destinations to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","28",1,"",""
"6815","CDC adds 2 destinations to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","19",1,"",""
"6816","CDC adds 2 destinations to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","14",1,"",""
"6817","Policymakers | Zika virus | CDC","1",79,"",""
"6818","Policymakers | Zika virus | CDC","16",13,"",""
"6819","Policymakers | Zika virus | CDC","13",9,"",""
"6820","Policymakers | Zika virus | CDC","10",9,"",""
"6821","Policymakers | Zika virus | CDC","6",9,"",""
"6822","Policymakers | Zika virus | CDC","26",8,"",""
"6823","Policymakers | Zika virus | CDC","18",7,"",""
"6824","Policymakers | Zika virus | CDC","7",7,"",""
"6825","Policymakers | Zika virus | CDC","36",6,"",""
"6826","Policymakers | Zika virus | CDC","11",6,"",""
"6827","Policymakers | Zika virus | CDC","4",6,"",""
"6828","Policymakers | Zika virus | CDC","3",6,"",""
"6829","Policymakers | Zika virus | CDC","20",5,"",""
"6830","Policymakers | Zika virus | CDC","15",5,"",""
"6831","Policymakers | Zika virus | CDC","12",5,"",""
"6832","Policymakers | Zika virus | CDC","2",5,"",""
"6833","Policymakers | Zika virus | CDC","9",4,"",""
"6834","Policymakers | Zika virus | CDC","5",4,"",""
"6835","Policymakers | Zika virus | CDC","44",3,"",""
"6836","Policymakers | Zika virus | CDC","27",3,"",""
"6837","Policymakers | Zika virus | CDC","24",3,"",""
"6838","Policymakers | Zika virus | CDC","14",3,"",""
"6839","Policymakers | Zika virus | CDC","32",2,"",""
"6840","Policymakers | Zika virus | CDC","30",2,"",""
"6841","Policymakers | Zika virus | CDC","29",2,"",""
"6842","Policymakers | Zika virus | CDC","17",2,"",""
"6843","Policymakers | Zika virus | CDC","1434",1,"",""
"6844","Policymakers | Zika virus | CDC","139",1,"",""
"6845","Policymakers | Zika virus | CDC","66",1,"",""
"6846","Policymakers | Zika virus | CDC","62",1,"",""
"6847","Policymakers | Zika virus | CDC","61",1,"",""
"6848","Policymakers | Zika virus | CDC","60",1,"",""
"6849","Policymakers | Zika virus | CDC","59",1,"",""
"6850","Policymakers | Zika virus | CDC","56",1,"",""
"6851","Policymakers | Zika virus | CDC","51",1,"",""
"6852","Policymakers | Zika virus | CDC","42",1,"",""
"6853","Policymakers | Zika virus | CDC","39",1,"",""
"6854","Policymakers | Zika virus | CDC","38",1,"",""
"6855","Policymakers | Zika virus | CDC","37",1,"",""
"6856","Policymakers | Zika virus | CDC","34",1,"",""
"6857","Policymakers | Zika virus | CDC","22",1,"",""
"6858","Policymakers | Zika virus | CDC","21",1,"",""
"6859","CDC adds Cuba to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","1",114,"",""
"6860","CDC adds Cuba to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","2",30,"",""
"6861","CDC adds Cuba to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","3",18,"",""
"6862","CDC adds Cuba to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","5",14,"",""
"6863","CDC adds Cuba to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","8",10,"",""
"6864","CDC adds Cuba to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","4",7,"",""
"6865","CDC adds Cuba to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","12",6,"",""
"6866","CDC adds Cuba to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","9",6,"",""
"6867","CDC adds Cuba to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","7",6,"",""
"6868","CDC adds Cuba to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","6",5,"",""
"6869","CDC adds Cuba to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","10",3,"",""
"6870","CDC adds Cuba to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","34",2,"",""
"6871","CDC adds Cuba to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","22",2,"",""
"6872","CDC adds Cuba to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","2192",1,"",""
"6873","CDC adds Cuba to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","28",1,"",""
"6874","CDC adds Cuba to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","24",1,"",""
"6875","CDC adds Cuba to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","17",1,"",""
"6876","CDC adds Cuba to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","11",1,"",""
"6877","Communicating with Your Baby’s Provider | Zika virus | CDC","1",135,"",""
"6878","Communicating with Your Baby’s Provider | Zika virus | CDC","2",14,"",""
"6879","Communicating with Your Baby’s Provider | Zika virus | CDC","3",11,"",""
"6880","Communicating with Your Baby’s Provider | Zika virus | CDC","7",9,"",""
"6881","Communicating with Your Baby’s Provider | Zika virus | CDC","5",8,"",""
"6882","Communicating with Your Baby’s Provider | Zika virus | CDC","11",7,"",""
"6883","Communicating with Your Baby’s Provider | Zika virus | CDC","4",6,"",""
"6884","Communicating with Your Baby’s Provider | Zika virus | CDC","9",5,"",""
"6885","Communicating with Your Baby’s Provider | Zika virus | CDC","8",5,"",""
"6886","Communicating with Your Baby’s Provider | Zika virus | CDC","13",4,"",""
"6887","Communicating with Your Baby’s Provider | Zika virus | CDC","6",3,"",""
"6888","Communicating with Your Baby’s Provider | Zika virus | CDC","15",2,"",""
"6889","Communicating with Your Baby’s Provider | Zika virus | CDC","10",2,"",""
"6890","Communicating with Your Baby’s Provider | Zika virus | CDC","90",1,"",""
"6891","Communicating with Your Baby’s Provider | Zika virus | CDC","37",1,"",""
"6892","Communicating with Your Baby’s Provider | Zika virus | CDC","32",1,"",""
"6893","Communicating with Your Baby’s Provider | Zika virus | CDC","20",1,"",""
"6894","Communicating with Your Baby’s Provider | Zika virus | CDC","19",1,"",""
"6895","Communicating with Your Baby’s Provider | Zika virus | CDC","18",1,"",""
"6896","Reproductive Age Women in Areas with Active Zika Virus | Zika Virus | CDC","1",96,"",""
"6897","Reproductive Age Women in Areas with Active Zika Virus | Zika Virus | CDC","2",27,"",""
"6898","Reproductive Age Women in Areas with Active Zika Virus | Zika Virus | CDC","3",16,"",""
"6899","Reproductive Age Women in Areas with Active Zika Virus | Zika Virus | CDC","7",12,"",""
"6900","Reproductive Age Women in Areas with Active Zika Virus | Zika Virus | CDC","4",6,"",""
"6901","Reproductive Age Women in Areas with Active Zika Virus | Zika Virus | CDC","5",5,"",""
"6902","Reproductive Age Women in Areas with Active Zika Virus | Zika Virus | CDC","9",4,"",""
"6903","Reproductive Age Women in Areas with Active Zika Virus | Zika Virus | CDC","8",4,"",""
"6904","Reproductive Age Women in Areas with Active Zika Virus | Zika Virus | CDC","6",4,"",""
"6905","Reproductive Age Women in Areas with Active Zika Virus | Zika Virus | CDC","21",3,"",""
"6906","Reproductive Age Women in Areas with Active Zika Virus | Zika Virus | CDC","14",3,"",""
"6907","Reproductive Age Women in Areas with Active Zika Virus | Zika Virus | CDC","11",3,"",""
"6908","Reproductive Age Women in Areas with Active Zika Virus | Zika Virus | CDC","10",3,"",""
"6909","Reproductive Age Women in Areas with Active Zika Virus | Zika Virus | CDC","18",2,"",""
"6910","Reproductive Age Women in Areas with Active Zika Virus | Zika Virus | CDC","12",2,"",""
"6911","Reproductive Age Women in Areas with Active Zika Virus | Zika Virus | CDC","1434",1,"",""
"6912","Reproductive Age Women in Areas with Active Zika Virus | Zika Virus | CDC","116",1,"",""
"6913","Reproductive Age Women in Areas with Active Zika Virus | Zika Virus | CDC","37",1,"",""
"6914","Reproductive Age Women in Areas with Active Zika Virus | Zika Virus | CDC","34",1,"",""
"6915","Reproductive Age Women in Areas with Active Zika Virus | Zika Virus | CDC","27",1,"",""
"6916","Reproductive Age Women in Areas with Active Zika Virus | Zika Virus | CDC","25",1,"",""
"6917","Reproductive Age Women in Areas with Active Zika Virus | Zika Virus | CDC","23",1,"",""
"6918","Reproductive Age Women in Areas with Active Zika Virus | Zika Virus | CDC","20",1,"",""
"6919","Reproductive Age Women in Areas with Active Zika Virus | Zika Virus | CDC","15",1,"",""
"6920","Families of Newborns Affected by Zika | Zika virus | CDC","1",67,"",""
"6921","Families of Newborns Affected by Zika | Zika virus | CDC","17",16,"",""
"6922","Families of Newborns Affected by Zika | Zika virus | CDC","5",10,"",""
"6923","Families of Newborns Affected by Zika | Zika virus | CDC","3",8,"",""
"6924","Families of Newborns Affected by Zika | Zika virus | CDC","2",8,"",""
"6925","Families of Newborns Affected by Zika | Zika virus | CDC","7",7,"",""
"6926","Families of Newborns Affected by Zika | Zika virus | CDC","6",6,"",""
"6927","Families of Newborns Affected by Zika | Zika virus | CDC","16",5,"",""
"6928","Families of Newborns Affected by Zika | Zika virus | CDC","8",5,"",""
"6929","Families of Newborns Affected by Zika | Zika virus | CDC","4",5,"",""
"6930","Families of Newborns Affected by Zika | Zika virus | CDC","15",4,"",""
"6931","Families of Newborns Affected by Zika | Zika virus | CDC","13",4,"",""
"6932","Families of Newborns Affected by Zika | Zika virus | CDC","9",4,"",""
"6933","Families of Newborns Affected by Zika | Zika virus | CDC","14",3,"",""
"6934","Families of Newborns Affected by Zika | Zika virus | CDC","10",3,"",""
"6935","Families of Newborns Affected by Zika | Zika virus | CDC","54",2,"",""
"6936","Families of Newborns Affected by Zika | Zika virus | CDC","49",2,"",""
"6937","Families of Newborns Affected by Zika | Zika virus | CDC","24",2,"",""
"6938","Families of Newborns Affected by Zika | Zika virus | CDC","21",2,"",""
"6939","Families of Newborns Affected by Zika | Zika virus | CDC","19",2,"",""
"6940","Families of Newborns Affected by Zika | Zika virus | CDC","18",2,"",""
"6941","Families of Newborns Affected by Zika | Zika virus | CDC","1434",1,"",""
"6942","Families of Newborns Affected by Zika | Zika virus | CDC","100",1,"",""
"6943","Families of Newborns Affected by Zika | Zika virus | CDC","93",1,"",""
"6944","Families of Newborns Affected by Zika | Zika virus | CDC","90",1,"",""
"6945","Families of Newborns Affected by Zika | Zika virus | CDC","82",1,"",""
"6946","Families of Newborns Affected by Zika | Zika virus | CDC","62",1,"",""
"6947","Families of Newborns Affected by Zika | Zika virus | CDC","61",1,"",""
"6948","Families of Newborns Affected by Zika | Zika virus | CDC","59",1,"",""
"6949","Families of Newborns Affected by Zika | Zika virus | CDC","55",1,"",""
"6950","Families of Newborns Affected by Zika | Zika virus | CDC","48",1,"",""
"6951","Families of Newborns Affected by Zika | Zika virus | CDC","47",1,"",""
"6952","Families of Newborns Affected by Zika | Zika virus | CDC","32",1,"",""
"6953","Families of Newborns Affected by Zika | Zika virus | CDC","27",1,"",""
"6954","Families of Newborns Affected by Zika | Zika virus | CDC","11",1,"",""
"6955","Congenital Zika Infection: Assessment and Follow up of Infant Hearing | Zika virus | CDC","1",68,"",""
"6956","Congenital Zika Infection: Assessment and Follow up of Infant Hearing | Zika virus | CDC","11",15,"",""
"6957","Congenital Zika Infection: Assessment and Follow up of Infant Hearing | Zika virus | CDC","3",14,"",""
"6958","Congenital Zika Infection: Assessment and Follow up of Infant Hearing | Zika virus | CDC","4",11,"",""
"6959","Congenital Zika Infection: Assessment and Follow up of Infant Hearing | Zika virus | CDC","2",10,"",""
"6960","Congenital Zika Infection: Assessment and Follow up of Infant Hearing | Zika virus | CDC","5",9,"",""
"6961","Congenital Zika Infection: Assessment and Follow up of Infant Hearing | Zika virus | CDC","6",8,"",""
"6962","Congenital Zika Infection: Assessment and Follow up of Infant Hearing | Zika virus | CDC","9",6,"",""
"6963","Congenital Zika Infection: Assessment and Follow up of Infant Hearing | Zika virus | CDC","7",6,"",""
"6964","Congenital Zika Infection: Assessment and Follow up of Infant Hearing | Zika virus | CDC","12",5,"",""
"6965","Congenital Zika Infection: Assessment and Follow up of Infant Hearing | Zika virus | CDC","46",3,"",""
"6966","Congenital Zika Infection: Assessment and Follow up of Infant Hearing | Zika virus | CDC","18",3,"",""
"6967","Congenital Zika Infection: Assessment and Follow up of Infant Hearing | Zika virus | CDC","13",3,"",""
"6968","Congenital Zika Infection: Assessment and Follow up of Infant Hearing | Zika virus | CDC","16",2,"",""
"6969","Congenital Zika Infection: Assessment and Follow up of Infant Hearing | Zika virus | CDC","14",2,"",""
"6970","Congenital Zika Infection: Assessment and Follow up of Infant Hearing | Zika virus | CDC","10",2,"",""
"6971","Congenital Zika Infection: Assessment and Follow up of Infant Hearing | Zika virus | CDC","8",2,"",""
"6972","Congenital Zika Infection: Assessment and Follow up of Infant Hearing | Zika virus | CDC","1434",1,"",""
"6973","Congenital Zika Infection: Assessment and Follow up of Infant Hearing | Zika virus | CDC","100",1,"",""
"6974","Congenital Zika Infection: Assessment and Follow up of Infant Hearing | Zika virus | CDC","90",1,"",""
"6975","Congenital Zika Infection: Assessment and Follow up of Infant Hearing | Zika virus | CDC","82",1,"",""
"6976","Congenital Zika Infection: Assessment and Follow up of Infant Hearing | Zika virus | CDC","41",1,"",""
"6977","Congenital Zika Infection: Assessment and Follow up of Infant Hearing | Zika virus | CDC","25",1,"",""
"6978","Congenital Zika Infection: Assessment and Follow up of Infant Hearing | Zika virus | CDC","22",1,"",""
"6979","Congenital Zika Infection: Assessment and Follow up of Infant Hearing | Zika virus | CDC","20",1,"",""
"6980","Congenital Zika Infection: Assessment and Follow up of Infant Hearing | Zika virus | CDC","19",1,"",""
"6981","Congenital Zika Infection: Assessment and Follow up of Infant Hearing | Zika virus | CDC","17",1,"",""
"6982","Women Trying to Become Pregnant through Fertility Treatment | Zika virus | CDC","1",98,"",""
"6983","Women Trying to Become Pregnant through Fertility Treatment | Zika virus | CDC","2",18,"",""
"6984","Women Trying to Become Pregnant through Fertility Treatment | Zika virus | CDC","4",10,"",""
"6985","Women Trying to Become Pregnant through Fertility Treatment | Zika virus | CDC","3",9,"",""
"6986","Women Trying to Become Pregnant through Fertility Treatment | Zika virus | CDC","5",8,"",""
"6987","Women Trying to Become Pregnant through Fertility Treatment | Zika virus | CDC","6",6,"",""
"6988","Women Trying to Become Pregnant through Fertility Treatment | Zika virus | CDC","9",5,"",""
"6989","Women Trying to Become Pregnant through Fertility Treatment | Zika virus | CDC","7",5,"",""
"6990","Women Trying to Become Pregnant through Fertility Treatment | Zika virus | CDC","27",3,"",""
"6991","Women Trying to Become Pregnant through Fertility Treatment | Zika virus | CDC","21",3,"",""
"6992","Women Trying to Become Pregnant through Fertility Treatment | Zika virus | CDC","23",2,"",""
"6993","Women Trying to Become Pregnant through Fertility Treatment | Zika virus | CDC","8",2,"",""
"6994","Women Trying to Become Pregnant through Fertility Treatment | Zika virus | CDC","1434",1,"",""
