"","page","geostate","pageviews","segment.id","segment.name"
"1","Areas with Zika | Zika virus | CDC","New York (United States)",39006,"",""
"35626","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Minnesota (United States)",33,"",""
"35627","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Arizona (United States)",29,"",""
"35628","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Selangor (Malaysia)",27,"",""
"35629","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Michigan (United States)",27,"",""
"35630","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Washington (United States)",27,"",""
"35631","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","North Carolina (United States)",23,"",""
"35632","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Indiana (United States)",23,"",""
"35633","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Louisiana (United States)",21,"",""
"35634","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Oregon (United States)",20,"",""
"35635","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Wisconsin (United States)",18,"",""
"35636","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Quebec (Canada)",17,"",""
"35637","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Kansas (United States)",17,"",""
"35638","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Tennessee (United States)",17,"",""
"35639","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Missouri (United States)",17,"",""
"35640","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Nebraska (United States)",12,"",""
"35641","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Kentucky (United States)",12,"",""
"35642","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Maharashtra (India)",10,"",""
"35643","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","South Carolina (United States)",9,"",""
"35644","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Dubayy (United Arab Emirates)",9,"",""
"35645","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Delaware (United States)",8,"",""
"35646","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Alabama (United States)",8,"",""
"35647","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Puerto Rico (Puerto Rico)",8,"",""
"35648","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Oklahoma (United States)",8,"",""
"35649","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Ar Riyad (Saudi Arabia)",8,"",""
"35650","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","District of Columbia (United States)",7,"",""
"35651","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Krung Thep Maha Nakhon Bangkok (Thailand)",7,"",""
"35652","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Utah (United States)",7,"",""
"35653","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","West Virginia (United States)",7,"",""
"35654","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Nevada (United States)",7,"",""
"35655","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Wilayah Persekutuan Kuala Lump (Malaysia)",7,"",""
"35656","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","South Dakota (United States)",7,"",""
"35657","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Alberta (Canada)",6,"",""
"35658","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Distrito Nacional (Dominican Republic)",6,"",""
"35659","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Victoria (Australia)",6,"",""
"35660","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Cardiff (United Kingdom)",6,"",""
"35661","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Idaho (United States)",5,"",""
"35662","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Hessen (Germany)",5,"",""
"35663","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Central (Singapore)",4,"",""
"35664","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","British Columbia (Canada)",4,"",""
"35665","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","French Polynesia (French Polynesia)",4,"",""
"35666","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Manila (Philippines)",4,"",""
"35667","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Nakhon Si Thammarat (Thailand)",4,"",""
"35668","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Kerala (India)",4,"",""
"35669","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Maine (United States)",4,"",""
"35670","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Hawaii (United States)",4,"",""
"35671","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Metropolitana De Lima (Peru)",4,"",""
"35672","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Dublin (Ireland)",4,"",""
"35673","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","New Hampshire (United States)",4,"",""
"35674","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","London (United Kingdom)",3,"",""
"35675","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Tarlac (Philippines)",3,"",""
"35676","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Rio De Janeiro (Brazil)",3,"",""
"35677","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Vermont (United States)",3,"",""
"35678","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Saint Michael (Barbados)",3,"",""
"35679","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Central (Fiji)",3,"",""
"35680","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Bratislavsky Kraj (Slovakia (Slovak Republic))",3,"",""
"35681","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","New Mexico (United States)",3,"",""
"35682","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Newcastle Upon Tyne (United Kingdom)",3,"",""
"35683","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Capital Federal (Argentina)",3,"",""
"35684","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Misamis Oriental (Philippines)",3,"",""
"35685","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Lagos (Nigeria)",3,"",""
"35686","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Ile-De-France (France)",3,"",""
"35687","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Montana (United States)",3,"",""
"35688","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Dar-Es-Salaam (Tanzania)",2,"",""
"35689","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Rhode Island (United States)",2,"",""
"35690","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Hong Kong (Hong Kong)",2,"",""
"35691","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Makkah (Saudi Arabia)",2,"",""
"35692","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Ouest (Haiti)",2,"",""
"35693","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Goias (Brazil)",2,"",""
"35694","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","San Jose (Costa Rica)",2,"",""
"35695","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Seoul Teugbyeol-SI (South Korea)",2,"",""
"35696","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Nueva Ecija (Philippines)",2,"",""
"35697","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Agusan Del Sur (Philippines)",2,"",""
"35698","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Okinawa (Japan)",2,"",""
"35699","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Ash Sharqlyah (Saudi Arabia)",2,"",""
"35700","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Antioquia (Colombia)",2,"",""
"35701","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Stockholms Lan (Sweden)",2,"",""
"35702","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Saint John (Antigua and Barbuda)",2,"",""
"35703","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Ho Chi Minh (Viet Nam)",2,"",""
"35704","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Hovedstaden (Denmark)",2,"",""
"35705","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Tamil Nadu (India)",2,"",""
"35706","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Arkansas (United States)",2,"",""
"35707","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Dhaka (Bangladesh)",2,"",""
"35708","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Guatemala (Guatemala)",2,"",""
"35709","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Hammersmith and Fulham (United Kingdom)",2,"",""
"35710","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Dolnoslaskie (Poland)",2,"",""
"35711","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","North Dakota (United States)",2,"",""
"35712","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Havering (United Kingdom)",2,"",""
"35713","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Praha (Czech Republic)",2,"",""
"35714","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Distrito Capital (Colombia)",2,"",""
"35715","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Kent (United Kingdom)",2,"",""
"35716","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Bonaire (Bonaire/Sint Eustatius/Saba)",2,"",""
"35717","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Kedah (Malaysia)",2,"",""
"35718","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Alaska (United States)",2,"",""
"35719","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Moskva (Russian Federation)",2,"",""
"35720","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Camden (United Kingdom)",2,"",""
"35721","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Batangas (Philippines)",2,"",""
"35722","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Mississippi (United States)",2,"",""
"35723","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Bagmati (Nepal)",2,"",""
"35724","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Dakar (Senegal)",2,"",""
"35725","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Basnahira Palata (Sri Lanka)",2,"",""
"35726","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Noord-Holland (Netherlands)",2,"",""
"35727","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","New South Wales (Australia)",2,"",""
"35728","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Abu Zaby (United Arab Emirates)",2,"",""
"35729","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Belgrade (Serbia)",2,"",""
"35730","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Delhi (India)",2,"",""
"35731","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Nuevo Leon (Mexico)",2,"",""
"35732","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Unspecified",2,"",""
"35733","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Coquimbo (Chile)",1,"",""
"35734","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Aruba (Aruba)",1,"",""
"35735","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Zuid-Holland (Netherlands)",1,"",""
"35736","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Cavite (Philippines)",1,"",""
"35737","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Bayern (Germany)",1,"",""
"35738","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Nottingham (United Kingdom)",1,"",""
"35739","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Curacao (Curacao)",1,"",""
"35740","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Auckland (New Zealand)",1,"",""
"35741","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Alajuela (Costa Rica)",1,"",""
"35742","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Jakarta Raya (Indonesia)",1,"",""
"35743","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","North Tyneside (United Kingdom)",1,"",""
"35744","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Bromley (United Kingdom)",1,"",""
"35745","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Bretagne (France)",1,"",""
"35746","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Edinburgh (United Kingdom)",1,"",""
"35747","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Greenwich (United Kingdom)",1,"",""
"35748","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Saint James (Jamaica)",1,"",""
"35749","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Waltham Forest (United Kingdom)",1,"",""
"35750","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Uttarakhand (India)",1,"",""
"35751","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Anguilla (Anguilla)",1,"",""
"35752","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Phnom Penh (Cambodia)",1,"",""
"35753","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Taichung City (Taiwan)",1,"",""
"35754","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Magallanes (Chile)",1,"",""
"35755","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Da Nang (Viet Nam)",1,"",""
"35756","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Karnataka (India)",1,"",""
"35757","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Panama (Panama)",1,"",""
"35758","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Lefkosia (Cyprus)",1,"",""
"35759","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Stoke-On-Trent (United Kingdom)",1,"",""
"35760","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","San Salvador (El Salvador)",1,"",""
"35761","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","American Samoa (American Samoa)",1,"",""
"35762","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Wiltshire (United Kingdom)",1,"",""
"35763","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Kauno (Lithuania)",1,"",""
"35764","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Cambridgeshire (United Kingdom)",1,"",""
"35765","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Davao Del Sur (Philippines)",1,"",""
"35766","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Jalisco (Mexico)",1,"",""
"35767","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","US Virgin Islands (US Virgin Islands)",1,"",""
"35768","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Balochisan (Pakistan)",1,"",""
"35769","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Beijing (China)",1,"",""
"35770","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Plovdiv (Bulgaria)",1,"",""
"35771","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Ealing (United Kingdom)",1,"",""
"35772","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Djibouti (Djibouti)",1,"",""
"35773","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Milano (Italy)",1,"",""
"35774","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Southwark (United Kingdom)",1,"",""
"35775","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Ha Noi (Viet Nam)",1,"",""
"35776","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Nordrhein-Westfalen (Germany)",1,"",""
"35777","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Saint George (Dominica)",1,"",""
"35778","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","New Brunswick (Canada)",1,"",""
"35779","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Distrito Federal (Mexico)",1,"",""
"35780","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Sindh - South (Pakistan)",1,"",""
"35781","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Ash Shariqah (United Arab Emirates)",1,"",""
"35782","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Pordenone (Italy)",1,"",""
"35783","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Turks and Caicos Islands (Turks and Caicos Islands)",1,"",""
"35784","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Madrid (Spain)",1,"",""
"35785","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Queensland (Australia)",1,"",""
"35786","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Saskatchewan (Canada)",1,"",""
"35787","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Oost-Vlaanderen (Belgium)",1,"",""
"35788","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Nova Scotia (Canada)",1,"",""
"35789","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Cornwall (United Kingdom)",1,"",""
"35790","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Punjab (Pakistan)",1,"",""
"35791","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Chiba (Japan)",1,"",""
"35792","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Salta (Argentina)",1,"",""
"35793","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Vizcaya (Spain)",1,"",""
"35794","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Montevideo (Uruguay)",1,"",""
"35795","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Sutton (United Kingdom)",1,"",""
"35796","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Sarawak (Malaysia)",1,"",""
"35797","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Sichuan (China)",1,"",""
"35798","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Kingston (Jamaica)",1,"",""
"35799","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Pichincha (Ecuador)",1,"",""
"35800","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Guam (Guam)",1,"",""
"35801","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Rogaland (Norway)",1,"",""
"35802","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Noord-Brabant (Netherlands)",1,"",""
"35803","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Cumbria (United Kingdom)",1,"",""
"35804","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Northwest Territories (Canada)",1,"",""
"35805","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","New Providence (Bahamas)",1,"",""
"35806","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Can Tho (Viet Nam)",1,"",""
"35807","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Mazowieckie (Poland)",1,"",""
"35808","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Punjab (India)",1,"",""
"35809","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Pernambuco (Brazil)",1,"",""
"35810","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Al Gharbiyah (Egypt)",1,"",""
"35811","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Kingston Upon Hull (United Kingdom)",1,"",""
"35812","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Calderdale (United Kingdom)",1,"",""
"35813","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Powys (United Kingdom)",1,"",""
"35814","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Perak (Malaysia)",1,"",""
"35815","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Jawa Barat (Indonesia)",1,"",""
"35816","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Glasgow City (United Kingdom)",1,"",""
"35817","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Bali (Indonesia)",1,"",""
"35818","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Catania (Italy)",1,"",""
"35819","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Pest (Hungary)",1,"",""
"35820","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Barnet (United Kingdom)",1,"",""
"35821","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Baden-Wurttemberg (Germany)",1,"",""
"35822","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Paramaribo (Suriname)",1,"",""
"35823","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Cebu (Philippines)",1,"",""
"35824","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Msida (Malta)",1,"",""
"35825","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Denizli (Turkey)",1,"",""
"35826","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Islamabad (Pakistan)",1,"",""
"35827","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Western Australia (Australia)",1,"",""
"35828","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Terengganu (Malaysia)",1,"",""
"35829","Collecting & Submitting Specimens At Time of Birth for Zika Virus Testing | Zika virus | CDC","Vicenza (Italy)",1,"",""
"35830","Zika Virus Transmission in Infants and Children | Zika virus | CDC","New York (United States)",215,"",""
"35831","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Ontario (Canada)",213,"",""
"35832","Zika Virus Transmission in Infants and Children | Zika virus | CDC","California (United States)",148,"",""
"35833","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Texas (United States)",66,"",""
"35834","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Quebec (Canada)",63,"",""
"35835","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Illinois (United States)",59,"",""
"35836","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Florida (United States)",58,"",""
"35837","Zika Virus Transmission in Infants and Children | Zika virus | CDC","New Jersey (United States)",56,"",""
"35838","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Massachusetts (United States)",53,"",""
"35839","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Virginia (United States)",36,"",""
"35840","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Alberta (Canada)",35,"",""
"35841","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Pennsylvania (United States)",34,"",""
"35842","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Maryland (United States)",32,"",""
"35843","Zika Virus Transmission in Infants and Children | Zika virus | CDC","British Columbia (Canada)",30,"",""
"35844","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Michigan (United States)",29,"",""
"35845","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Colorado (United States)",25,"",""
"35846","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Washington (United States)",25,"",""
"35847","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Minnesota (United States)",24,"",""
"35848","Zika Virus Transmission in Infants and Children | Zika virus | CDC","Georgia (United States)",23,"",""
