"","page","mobiledevicename","pageviews","segment.id","segment.name"
"1","Areas with Zika | Zika virus | CDC","::unspecified::",189816,"",""
"30746","Pregnancy Registry | Zika virus | CDC","Cricket G Stylo (H634)",2,"",""
"30747","Pregnancy Registry | Zika virus | CDC","Samsung Galaxy S7 Edge (SM-G935F)",2,"",""
"30748","Pregnancy Registry | Zika virus | CDC","Motorola Droid Maxx 2 (XT1565)",2,"",""
"30749","Pregnancy Registry | Zika virus | CDC","Sprint Galaxy S6 (SM-G920P)",2,"",""
"30750","Pregnancy Registry | Zika virus | CDC","Motorola Moto G (3rd Gen)",2,"",""
"30751","Pregnancy Registry | Zika virus | CDC","Motorola DROID Ultra 4G LTE (XT1080)",2,"",""
"30752","Pregnancy Registry | Zika virus | CDC","Samsung Galaxy Tab A (SM-P550)",2,"",""
"30753","Pregnancy Registry | Zika virus | CDC","Samsung Galaxy S4 (SGH-I337M)",2,"",""
"30754","Pregnancy Registry | Zika virus | CDC","T-Mobile Galaxy S6 Edge (SM-G925T)",2,"",""
"30755","Pregnancy Registry | Zika virus | CDC","Motorola DROID Mini 4G LTE (XT1030)",2,"",""
"30756","Pregnancy Registry | Zika virus | CDC","AT&T Galaxy S4 (SGH-I337)",2,"",""
"30757","Pregnancy Registry | Zika virus | CDC","Amazon Fire HD 8 (2016)",2,"",""
"30758","Pregnancy Registry | Zika virus | CDC","LG G4 (VS986)",2,"",""
"30759","Pregnancy Registry | Zika virus | CDC","KDDI Xperia Z2 Tablet (SOT21)",1,"",""
"30760","Pregnancy Registry | Zika virus | CDC","Huawei P9 Lite (VNS-L22)",1,"",""
"30761","Pregnancy Registry | Zika virus | CDC","LG G Pad F (V496)",1,"",""
"30762","Pregnancy Registry | Zika virus | CDC","Huawei Y538",1,"",""
"30763","Pregnancy Registry | Zika virus | CDC","LG K7 (MS330)",1,"",""
"30764","Pregnancy Registry | Zika virus | CDC","Samsung Galaxy S5 (SM-S902L)",1,"",""
"30765","Pregnancy Registry | Zika virus | CDC","AT&T Galaxy Tab 4 8.0 (SM-T337A)",1,"",""
"30766","Pregnancy Registry | Zika virus | CDC","Samsung Galaxy J7 (SM-J700P)",1,"",""
"30767","Pregnancy Registry | Zika virus | CDC","Motorola Moto X (XT1049)",1,"",""
"30768","Pregnancy Registry | Zika virus | CDC","Unknown Generic Android Tablet",1,"",""
"30769","Pregnancy Registry | Zika virus | CDC","Verizon Galaxy Note 5 (SM-N920V)",1,"",""
"30770","Pregnancy Registry | Zika virus | CDC","Amazon Kindle Fire HD 8.9",1,"",""
"30771","Pregnancy Registry | Zika virus | CDC","Samsung Galaxy J1 Ace (SM-J110M)",1,"",""
"30772","Pregnancy Registry | Zika virus | CDC","Amazon Fire HD 10 (2015)",1,"",""
"30773","Pregnancy Registry | Zika virus | CDC","Samsung Galaxy S6 Edge (SM-G925A)",1,"",""
"30774","Pregnancy Registry | Zika virus | CDC","HTC One M8",1,"",""
"30775","Pregnancy Registry | Zika virus | CDC","Samsung Galaxy Note (GT-N8013)",1,"",""
"30776","Pregnancy Registry | Zika virus | CDC","Huawei P8 Standard Edition (GRA-L09)",1,"",""
"30777","Pregnancy Registry | Zika virus | CDC","Alcatel One Touch Fierce 2 (7040T)",1,"",""
"30778","Pregnancy Registry | Zika virus | CDC","Blu Dash M",1,"",""
"30779","Pregnancy Registry | Zika virus | CDC","Samsung Galaxy Grand Prime (SM-G530T1)",1,"",""
"30780","Pregnancy Registry | Zika virus | CDC","LG G3 (D851)",1,"",""
"30781","Pregnancy Registry | Zika virus | CDC","Samsung Galaxy S5 (SM-G900T3)",1,"",""
"30782","Pregnancy Registry | Zika virus | CDC","Google Nexus 6P",1,"",""
"30783","Pregnancy Registry | Zika virus | CDC","Samsung Galaxy S4 LTE (GT-I9505)",1,"",""
"30784","Pregnancy Registry | Zika virus | CDC","Samsung Galaxy S6 (SM-G920F)",1,"",""
"30785","Pregnancy Registry | Zika virus | CDC","Samsung Galaxy Grand Prime (SM-G530H)",1,"",""
"30786","Pregnancy Registry | Zika virus | CDC","Samsung Galaxy S6 (SM-G920T)",1,"",""
"30787","Pregnancy Registry | Zika virus | CDC","Motorola Moto X Pure Edition (XT1575)",1,"",""
"30788","Pregnancy Registry | Zika virus | CDC","Samsung Galaxy Grand Prime Duos (SM-G530AZ)",1,"",""
"30789","Pregnancy Registry | Zika virus | CDC","T-Mobile Galaxy Tab S2 (SM-T817T)",1,"",""
"30790","Pregnancy Registry | Zika virus | CDC","Samsung Galaxy Tab 4 10.1 LTE (SM-T535)",1,"",""
"30791","Pregnancy Registry | Zika virus | CDC","Samsung Galaxy S6 (SM-G920W8)",1,"",""
"30792","Pregnancy Registry | Zika virus | CDC","Sprint Galaxy Note 2 (SPH-L900)",1,"",""
"30793","Pregnancy Registry | Zika virus | CDC","Samsung Galaxy Core Prime (SM-G360T1)",1,"",""
"30794","Pregnancy Registry | Zika virus | CDC","Sprint Galaxy S7 (SM-G930P)",1,"",""
"30795","Pregnancy Registry | Zika virus | CDC","HTC Desire 816 Dual SIM",1,"",""
"30796","Pregnancy Registry | Zika virus | CDC","Motorola Moto E2",1,"",""
"30797","Pregnancy Registry | Zika virus | CDC","AT&T Galaxy S5 Active (SM-G870A)",1,"",""
"30798","Pregnancy Registry | Zika virus | CDC","RCA Tablets 10 Viking Pro (RCT6303W87DK)",1,"",""
"30799","Pregnancy Registry | Zika virus | CDC","Samsung Galaxy Note 3 (SM-N900T)",1,"",""
"30800","Pregnancy Registry | Zika virus | CDC","LG Tribute 4G (LS660)",1,"",""
"30801","Pregnancy Registry | Zika virus | CDC","AT&T Galaxy S6 Active (SM-G890A)",1,"",""
"30802","Pregnancy Registry | Zika virus | CDC","Samsung Galaxy On7 (SM-G600FY)",1,"",""
"30803","Pregnancy Registry | Zika virus | CDC","LG G4 (H815)",1,"",""
"30804","Pregnancy Registry | Zika virus | CDC","Samsung Galaxy S7 (SM-G930U)",1,"",""
"30805","Pregnancy Registry | Zika virus | CDC","Motorola Electrify M (XT901)",1,"",""
"30806","Pregnancy Registry | Zika virus | CDC","Samsung Galaxy On5 LTE (SM-G550T1)",1,"",""
"30807","Pregnancy Registry | Zika virus | CDC","Samsung Galaxy Grand Prime Value Edition (SM-G531F)",1,"",""
"30808","Zika Virus Infection and Microcephaly | Zika virus | CDC","::unspecified::",1423,"",""
"30809","Zika Virus Infection and Microcephaly | Zika virus | CDC","Apple iPhone",524,"",""
"30810","Zika Virus Infection and Microcephaly | Zika virus | CDC","Apple iPad",55,"",""
"30811","Zika Virus Infection and Microcephaly | Zika virus | CDC","Google Nexus 6P",10,"",""
"30812","Zika Virus Infection and Microcephaly | Zika virus | CDC","Sprint Galaxy S6 (SM-G920P)",9,"",""
"30813","Zika Virus Infection and Microcephaly | Zika virus | CDC","AT&T Galaxy S5 (SM-G900A)",6,"",""
"30814","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy Tab A (SM-T280)",6,"",""
"30815","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy S6 (SM-G920F)",6,"",""
"30816","Zika Virus Infection and Microcephaly | Zika virus | CDC","Google Nexus 5 (D820)",5,"",""
"30817","Zika Virus Infection and Microcephaly | Zika virus | CDC","Verizon Galaxy S5 (SM-G900V)",5,"",""
"30818","Zika Virus Infection and Microcephaly | Zika virus | CDC","Verizon Galaxy S7 (SM-G930V)",5,"",""
"30819","Zika Virus Infection and Microcephaly | Zika virus | CDC","Motorola Droid Turbo (XT1254)",4,"",""
"30820","Zika Virus Infection and Microcephaly | Zika virus | CDC","Verizon Galaxy S6 Edge (SM-G925V)",4,"",""
"30821","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy Note 3 4G LTE (SM-N9005)",4,"",""
"30822","Zika Virus Infection and Microcephaly | Zika virus | CDC","T-Mobile Galaxy S7 edge (SM-G935T)",4,"",""
"30823","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy S5 (SM-G900F)",4,"",""
"30824","Zika Virus Infection and Microcephaly | Zika virus | CDC","Motorola Moto X Pure Edition (XT1575)",4,"",""
"30825","Zika Virus Infection and Microcephaly | Zika virus | CDC","Motorola Moto G (3rd Gen)",4,"",""
"30826","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung SM-G903W",4,"",""
"30827","Zika Virus Infection and Microcephaly | Zika virus | CDC","Google Pixel",4,"",""
"30828","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy S5 (SM-G900T)",4,"",""
"30829","Zika Virus Infection and Microcephaly | Zika virus | CDC","LG G4 (H818)",3,"",""
"30830","Zika Virus Infection and Microcephaly | Zika virus | CDC","Verizon Galaxy Note 5 (SM-N920V)",3,"",""
"30831","Zika Virus Infection and Microcephaly | Zika virus | CDC","LG G Stylo (MS631)",3,"",""
"30832","Zika Virus Infection and Microcephaly | Zika virus | CDC","AT&T Galaxy S7 edge (SM-G935A)",3,"",""
"30833","Zika Virus Infection and Microcephaly | Zika virus | CDC","HTC One M8",3,"",""
"30834","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy S4 (GT-I9500)",3,"",""
"30835","Zika Virus Infection and Microcephaly | Zika virus | CDC","Verizon Galaxy S6 (SM-G920V)",3,"",""
"30836","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy Tab 4 (SM-T230NU)",3,"",""
"30837","Zika Virus Infection and Microcephaly | Zika virus | CDC","Verizon Galaxy S4 (SCH-I545)",3,"",""
"30838","Zika Virus Infection and Microcephaly | Zika virus | CDC","Verizon Galaxy S7 edge (SM-G935V)",3,"",""
"30839","Zika Virus Infection and Microcephaly | Zika virus | CDC","Sony Xperia Z5 (E6653)",3,"",""
"30840","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy S6 (SM-G920W8)",3,"",""
"30841","Zika Virus Infection and Microcephaly | Zika virus | CDC","Sprint Galaxy S7 (SM-G930P)",3,"",""
"30842","Zika Virus Infection and Microcephaly | Zika virus | CDC","T-Mobile Galaxy S7 (SM-G930T)",3,"",""
"30843","Zika Virus Infection and Microcephaly | Zika virus | CDC","Verizon Galaxy Note 4 (SM-N910V)",3,"",""
"30844","Zika Virus Infection and Microcephaly | Zika virus | CDC","Sprint Galaxy S5 (SM-G900P)",3,"",""
"30845","Zika Virus Infection and Microcephaly | Zika virus | CDC","Motorola Moto E2",3,"",""
"30846","Zika Virus Infection and Microcephaly | Zika virus | CDC","HTC Desire 626G Plus",3,"",""
"30847","Zika Virus Infection and Microcephaly | Zika virus | CDC","T-Mobile G4 (H811)",3,"",""
"30848","Zika Virus Infection and Microcephaly | Zika virus | CDC","Motorola Moto G (XT1032)",3,"",""
"30849","Zika Virus Infection and Microcephaly | Zika virus | CDC","AT&T Galaxy Note 4 (SM-N910A)",3,"",""
"30850","Zika Virus Infection and Microcephaly | Zika virus | CDC","Orange Galaxy S7 (SM-G930F)",2,"",""
"30851","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy Note 4 (SM-N910F)",2,"",""
"30852","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy Fame Lite (GT-S6790)",2,"",""
"30853","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy J2 (SM-J200M)",2,"",""
"30854","Zika Virus Infection and Microcephaly | Zika virus | CDC","Verizon Droid Turbo 2 (XT1585)",2,"",""
"30855","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy Tab4 7.0 3G (SM-T231)",2,"",""
"30856","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy S6 (SM-G920I)",2,"",""
"30857","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy Tab 4 10.1 (SM-T350)",2,"",""
"30858","Zika Virus Infection and Microcephaly | Zika virus | CDC","Motorola Moto X 2nd Gen (XT1095)",2,"",""
"30859","Zika Virus Infection and Microcephaly | Zika virus | CDC","Sony Xperia XZ (F8332)",2,"",""
"30860","Zika Virus Infection and Microcephaly | Zika virus | CDC","ZTE Zmax Pro (Z981)",2,"",""
"30861","Zika Virus Infection and Microcephaly | Zika virus | CDC","Sony Xperia Z5 Compact (E5823)",2,"",""
"30862","Zika Virus Infection and Microcephaly | Zika virus | CDC","Sprint Galaxy S5 Active (SM-G860P)",2,"",""
"30863","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy Tab 2 7.0 (GT-P3100)",2,"",""
"30864","Zika Virus Infection and Microcephaly | Zika virus | CDC","Sony Xperia Z2 (D6503)",2,"",""
"30865","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy Note 5 (SM-N920A)",2,"",""
"30866","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy S6 (SM-G920R7)",2,"",""
"30867","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy Grand (GT-I9082)",2,"",""
"30868","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy Grand Neo (GT-I9060C)",2,"",""
"30869","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy Note 5 LTE-A (SM-N920I)",2,"",""
"30870","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy S6 (SM-G920T)",2,"",""
"30871","Zika Virus Infection and Microcephaly | Zika virus | CDC","Vivo Y31L",2,"",""
"30872","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung GALAXY J7 (SM-J700T1)",2,"",""
"30873","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy S7 (SM-G930W8)",2,"",""
"30874","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy S7 Edge (SM-G935F)",2,"",""
"30875","Zika Virus Infection and Microcephaly | Zika virus | CDC","Infinix Hot Note (X551)",2,"",""
"30876","Zika Virus Infection and Microcephaly | Zika virus | CDC","Kata Mobile i1",2,"",""
"30877","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy S4 Mini (GT-I9195)",2,"",""
"30878","Zika Virus Infection and Microcephaly | Zika virus | CDC","Google Nexus 5X (H790)",2,"",""
"30879","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy S5 Neo (SM-G903F)",2,"",""
"30880","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy On5 LTE (SM-G550T1)",2,"",""
"30881","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy Tab 4 10.1 LTE (SM-T530)",2,"",""
"30882","Zika Virus Infection and Microcephaly | Zika virus | CDC","Unknown Event (Generic Android Mobile)",1,"",""
"30883","Zika Virus Infection and Microcephaly | Zika virus | CDC","Lenovo A7000-a",1,"",""
"30884","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy Tab 2 10.1 (GT-P5113)",1,"",""
"30885","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy Note 5 (SM-N9208)",1,"",""
"30886","Zika Virus Infection and Microcephaly | Zika virus | CDC","Huawei Y538",1,"",""
"30887","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy S5 Neo (SM-G903M)",1,"",""
"30888","Zika Virus Infection and Microcephaly | Zika virus | CDC","Huawei P9 Lite (VNS-L31)",1,"",""
"30889","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy Note 2 (GT-N7100)",1,"",""
"30890","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy J7 Prime (SM-G610F)",1,"",""
"30891","Zika Virus Infection and Microcephaly | Zika virus | CDC","Asus ZenFone C (ZC451CG (Z007))",1,"",""
"30892","Zika Virus Infection and Microcephaly | Zika virus | CDC","LG K7 (MS330)",1,"",""
"30893","Zika Virus Infection and Microcephaly | Zika virus | CDC","Sony Xperia Z Ultra (C6802)",1,"",""
"30894","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy J7 (SM-J700P)",1,"",""
"30895","Zika Virus Infection and Microcephaly | Zika virus | CDC","Lava Pixel V2",1,"",""
"30896","Zika Virus Infection and Microcephaly | Zika virus | CDC","AT&T Galaxy Note Edge (SM-N915A)",1,"",""
"30897","Zika Virus Infection and Microcephaly | Zika virus | CDC","Unknown Generic Android Tablet",1,"",""
"30898","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy S4 (SM-S975L)",1,"",""
"30899","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy Note 4 (SM-N9100)",1,"",""
"30900","Zika Virus Infection and Microcephaly | Zika virus | CDC","Coolpad Note 3 (CP8676 I02)",1,"",""
"30901","Zika Virus Infection and Microcephaly | Zika virus | CDC","Alcatel One Touch Idol 4 (6055U)",1,"",""
"30902","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy Core II (SM-G355H)",1,"",""
"30903","Zika Virus Infection and Microcephaly | Zika virus | CDC","LG G4 (H812)",1,"",""
"30904","Zika Virus Infection and Microcephaly | Zika virus | CDC","Huawei GR5 (KII-L21)",1,"",""
"30905","Zika Virus Infection and Microcephaly | Zika virus | CDC","Straight Talk Glaxy S6 (SM-S906L)",1,"",""
"30906","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy S6 Edge Plus (SM-G928V)",1,"",""
"30907","Zika Virus Infection and Microcephaly | Zika virus | CDC","Motorola Moto X Play (XT1563)",1,"",""
"30908","Zika Virus Infection and Microcephaly | Zika virus | CDC","BlackBerry DTEK50 (STH100-1)",1,"",""
"30909","Zika Virus Infection and Microcephaly | Zika virus | CDC","Google Pixel XL",1,"",""
"30910","Zika Virus Infection and Microcephaly | Zika virus | CDC","Lava Iris X5",1,"",""
"30911","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy S Duos (GT-S7562)",1,"",""
"30912","Zika Virus Infection and Microcephaly | Zika virus | CDC","Coolpad Note 3 Lite (CP8298 I00)",1,"",""
"30913","Zika Virus Infection and Microcephaly | Zika virus | CDC","ZTE Prestige (N9132)",1,"",""
"30914","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy S6 Edge (SM-G925A)",1,"",""
"30915","Zika Virus Infection and Microcephaly | Zika virus | CDC","Sony Xperia Z1 Compact (D5503)",1,"",""
"30916","Zika Virus Infection and Microcephaly | Zika virus | CDC","Gionee F103 Pro",1,"",""
"30917","Zika Virus Infection and Microcephaly | Zika virus | CDC","OnePlus OnePlus X (E1001)",1,"",""
"30918","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy Tab S LTE (SM-T705)",1,"",""
"30919","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy S7 Active (SM-G891A)",1,"",""
"30920","Zika Virus Infection and Microcephaly | Zika virus | CDC","Sony Xperia Z3 (D6603)",1,"",""
"30921","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy S6 Edge Plus (SM-G928I)",1,"",""
"30922","Zika Virus Infection and Microcephaly | Zika virus | CDC","PiPo M3",1,"",""
"30923","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy Tab S2 (SM-T710)",1,"",""
"30924","Zika Virus Infection and Microcephaly | Zika virus | CDC","Google Nexus 7",1,"",""
"30925","Zika Virus Infection and Microcephaly | Zika virus | CDC","Oppo Neo 7 (A33F)",1,"",""
"30926","Zika Virus Infection and Microcephaly | Zika virus | CDC","Oxiron X4",1,"",""
"30927","Zika Virus Infection and Microcephaly | Zika virus | CDC","YU YU Yuphoria (YU5010)",1,"",""
"30928","Zika Virus Infection and Microcephaly | Zika virus | CDC","AT&T Galaxy S6 Edge+ (SM-G928A)",1,"",""
"30929","Zika Virus Infection and Microcephaly | Zika virus | CDC","Sonim XP7700",1,"",""
"30930","Zika Virus Infection and Microcephaly | Zika virus | CDC","Microsoft Lumia 640 LTE (RM-1075)",1,"",""
"30931","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy Tab 3 (SM-T210)",1,"",""
"30932","Zika Virus Infection and Microcephaly | Zika virus | CDC","RCA Tablets Pro10 Edition II (RCT6203W46L)",1,"",""
"30933","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy S2 Plus (GT-I9105P)",1,"",""
"30934","Zika Virus Infection and Microcephaly | Zika virus | CDC","ZTE ZMax (Z970)",1,"",""
"30935","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy Note 8.0 AT+T (SGH-I467)",1,"",""
"30936","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy S5 (SM-G900T3)",1,"",""
"30937","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy Note 4 (SM-N910H)",1,"",""
"30938","Zika Virus Infection and Microcephaly | Zika virus | CDC","Xiaomi Redmi Note 4G (HM Note 1LTE)",1,"",""
"30939","Zika Virus Infection and Microcephaly | Zika virus | CDC","Google Nexus 4 (E960)",1,"",""
"30940","Zika Virus Infection and Microcephaly | Zika virus | CDC","Huawei P9 (EVA-L09)",1,"",""
"30941","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy J7 (SM-J700M)",1,"",""
"30942","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy Ace 4 (SM-G313MU)",1,"",""
"30943","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy Alpha (SM-G850F)",1,"",""
"30944","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy J1 Ace (SM-J111F)",1,"",""
"30945","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy Core Prime Duos (SM-G360H)",1,"",""
"30946","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy S4 LTE (GT-I9505)",1,"",""
"30947","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy A3 (SM-A310F)",1,"",""
"30948","Zika Virus Infection and Microcephaly | Zika virus | CDC","Asus Zenfone 5 (T00J)",1,"",""
"30949","Zika Virus Infection and Microcephaly | Zika virus | CDC","Infinix X507",1,"",""
"30950","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy S6 Edge (SM-G925W8)",1,"",""
"30951","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy S3 (SCH-S968C)",1,"",""
"30952","Zika Virus Infection and Microcephaly | Zika virus | CDC","Motorola Moto Z (XT1650)",1,"",""
"30953","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy Grand Prime (SM-G530H)",1,"",""
"30954","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy Core Prime (SM-G361HU)",1,"",""
"30955","Zika Virus Infection and Microcephaly | Zika virus | CDC","Alcatel One Touch Idol 2 (OT-6037B)",1,"",""
"30956","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy J7 (SM-J700H)",1,"",""
"30957","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy Note 5 (SM-N920S)",1,"",""
"30958","Zika Virus Infection and Microcephaly | Zika virus | CDC","LG V20 (H918)",1,"",""
"30959","Zika Virus Infection and Microcephaly | Zika virus | CDC","LG G3 (D850)",1,"",""
"30960","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy S6 Edge Plus (SM-G928T)",1,"",""
"30961","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy J5 (SM-J510FN)",1,"",""
"30962","Zika Virus Infection and Microcephaly | Zika virus | CDC","Sprint Galaxy Note 5 (SM-N920P)",1,"",""
"30963","Zika Virus Infection and Microcephaly | Zika virus | CDC","LeEco Le 1s Eco (Le X509)",1,"",""
"30964","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy Note 5 (SM-N920W8)",1,"",""
"30965","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy Note 3 (SM-N900V)",1,"",""
"30966","Zika Virus Infection and Microcephaly | Zika virus | CDC","LG K8V (VS500)",1,"",""
"30967","Zika Virus Infection and Microcephaly | Zika virus | CDC","Lenovo A6000",1,"",""
"30968","Zika Virus Infection and Microcephaly | Zika virus | CDC","Huawei Ascend G7 (G7-L03)",1,"",""
"30969","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy Grand Prime Value Edition (SM-G531H)",1,"",""
"30970","Zika Virus Infection and Microcephaly | Zika virus | CDC","Cricket Optimus L70 (D-321)",1,"",""
"30971","Zika Virus Infection and Microcephaly | Zika virus | CDC","AT&T Galaxy S6 (SM-G920A)",1,"",""
"30972","Zika Virus Infection and Microcephaly | Zika virus | CDC","Huawei Ascend Y560 (Y560-U02)",1,"",""
"30973","Zika Virus Infection and Microcephaly | Zika virus | CDC","Sony Xperia M2 (D2303)",1,"",""
"30974","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy S7 Edge (SM-G935W8)",1,"",""
"30975","Zika Virus Infection and Microcephaly | Zika virus | CDC","Huawei P8 Lite (ALE-L02)",1,"",""
"30976","Zika Virus Infection and Microcephaly | Zika virus | CDC","Sony Xperia Z5 (E6603)",1,"",""
"30977","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy Note 4 (SM-N910W8)",1,"",""
"30978","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy Core Prime (SM-G360T1)",1,"",""
"30979","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy Tab A (SM-P550)",1,"",""
"30980","Zika Virus Infection and Microcephaly | Zika virus | CDC","Xiaomi Redmi Note 3",1,"",""
"30981","Zika Virus Infection and Microcephaly | Zika virus | CDC","AT&T Galaxy S4 Active (SGH-I537)",1,"",""
"30982","Zika Virus Infection and Microcephaly | Zika virus | CDC","Huawei Y6 (SCL-L02)",1,"",""
"30983","Zika Virus Infection and Microcephaly | Zika virus | CDC","OnePlus OnePlus Two (A2003)",1,"",""
"30984","Zika Virus Infection and Microcephaly | Zika virus | CDC","LG Risio (H343)",1,"",""
"30985","Zika Virus Infection and Microcephaly | Zika virus | CDC","Alcatel One Touch POP C3 (OT-4033A)",1,"",""
"30986","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy J5 2016 (SM-J510GN)",1,"",""
"30987","Zika Virus Infection and Microcephaly | Zika virus | CDC","Sony Xperia Z5 (E6683)",1,"",""
"30988","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy S6 Edge (SM-G925I)",1,"",""
"30989","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy Star 2 Plus (SM-G350E)",1,"",""
"30990","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy S4 (SGH-I337M)",1,"",""
"30991","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy A7 (SM-G930T1)",1,"",""
"30992","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy S6 Edge (SM-G925F)",1,"",""
"30993","Zika Virus Infection and Microcephaly | Zika virus | CDC","T-Mobile Galaxy S6 Edge (SM-G925T)",1,"",""
"30994","Zika Virus Infection and Microcephaly | Zika virus | CDC","Asus Zenfone 5 (T00F)",1,"",""
"30995","Zika Virus Infection and Microcephaly | Zika virus | CDC","Oppo F1s (A1601)",1,"",""
"30996","Zika Virus Infection and Microcephaly | Zika virus | CDC","AT&T Galaxy S5 Active (SM-G870A)",1,"",""
"30997","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy S5 (SM-G900W8)",1,"",""
"30998","Zika Virus Infection and Microcephaly | Zika virus | CDC","Samsung Galaxy E7 (SM-E700H)",1,"",""
